year,brand,km_driven,mileage,engine,max_power,torque,seats,fuel_type,transmission,owner_count,price
2022,Tata,122620,20.1,2860,142.9,296.5,5,Electric,Manual,1,222325
2001,Ford,151959,24.08,2840,183.7,170.7,7,Diesel,Manual,1,181561
2006,Kia,128760,18.83,2589,79.0,366.2,7,Diesel,Manual,2,52221
2023,Toyota,32682,28.25,2011,45.1,107.7,6,Electric,Automatic,1,69306
2002,Kia,63926,13.53,1134,84.8,177.4,6,Petrol,Automatic,1,107374
2009,Honda,112971,13.42,2911,155.6,281.7,4,Petrol,Automatic,2,170756
1997,Renault,181703,11.19,2580,90.9,305.9,5,Electric,Manual,2,94036
2008,Honda,20879,13.6,2283,186.2,80.8,5,Diesel,Automatic,1,200964
2011,Honda,162521,14.41,1201,65.9,76.2,4,CNG,Manual,2,92225
1998,Honda,82279,27.21,1445,165.3,219.7,6,Diesel,Automatic,3,210407
2012,Kia,153789,20.17,2978,116.2,109.3,7,Petrol,Automatic,2,184960
2002,Volkswagen,26571,14.12,2220,62.1,350.5,6,Petrol,Automatic,3,30000
1998,Honda,21191,27.03,860,156.9,365.1,5,Electric,Automatic,2,174899
1996,Tata,152226,11.52,2149,41.8,220.2,7,Diesel,Manual,1,30000
2000,Toyota,49964,15.68,1958,140.7,316.0,7,Electric,Manual,3,205640
2016,Hyundai,59489,28.77,1151,179.9,151.2,5,Diesel,Automatic,1,222565
2004,Honda,195543,29.37,1244,41.9,235.6,5,Diesel,Manual,2,53507
1998,Mahindra,169643,17.41,1180,142.8,175.3,4,Diesel,Manual,3,207046
2016,Volkswagen,169879,26.09,2621,45.0,278.9,5,Diesel,Automatic,3,69338
2023,Toyota,69284,13.12,2315,175.8,320.8,4,Petrol,Automatic,2,262317
2012,Mahindra,77036,27.82,2952,180.0,147.4,6,CNG,Automatic,3,269776
2020,Maruti,66542,25.85,2226,161.9,89.7,7,Diesel,Automatic,2,159456
2006,Toyota,112462,23.17,896,87.3,230.2,4,CNG,Automatic,2,108233
1996,Volkswagen,183149,26.75,1596,92.5,204.8,6,Petrol,Automatic,1,113455
2004,Honda,148408,21.25,1259,82.7,88.6,6,Petrol,Manual,1,138868
1998,Hyundai,3075,16.65,1688,176.9,238.7,4,CNG,Manual,2,256739
2008,Ford,117542,23.3,2842,86.9,125.9,7,CNG,Automatic,3,69648
2010,Volkswagen,62861,23.28,1045,141.5,322.7,7,Electric,Manual,1,153319
2009,Kia,146968,21.6,1378,139.5,222.6,5,CNG,Manual,2,133133
2002,Maruti,144851,25.75,1673,84.2,257.9,6,Electric,Manual,2,63588
2008,Ford,150259,11.07,2268,173.0,145.4,6,Diesel,Manual,3,252947
2017,Maruti,195220,22.78,1800,134.2,222.5,6,CNG,Manual,1,178580
2022,Mahindra,184653,21.54,1782,91.3,388.6,7,Diesel,Manual,2,140674
2019,Maruti,77498,14.41,2923,99.6,329.0,7,CNG,Automatic,1,150268
2002,Honda,37320,11.74,1841,166.2,198.3,4,Petrol,Manual,3,214777
2015,Renault,29972,19.4,1584,117.1,94.1,6,Diesel,Automatic,3,187943
2010,Toyota,37228,15.08,1434,163.6,140.5,5,Electric,Automatic,1,213636
2007,Maruti,128040,25.45,2055,116.7,168.4,6,Diesel,Automatic,3,147202
2012,Maruti,169098,19.81,2504,44.1,195.4,7,CNG,Manual,1,30000
2009,Renault,160598,29.23,2470,83.2,329.9,7,Electric,Automatic,1,83735
2015,Renault,198877,29.12,1438,99.2,82.0,4,Electric,Manual,3,89748
2018,Toyota,23307,27.63,1620,187.3,291.6,6,Diesel,Automatic,1,261790
2020,Toyota,140687,22.6,2280,194.2,323.8,5,CNG,Automatic,2,260060
2019,Volkswagen,129523,21.97,2578,132.2,394.3,4,Electric,Automatic,2,173345
2022,Hyundai,172254,14.36,2517,65.0,367.2,6,Diesel,Manual,1,84652
2022,Hyundai,54969,24.35,2811,154.4,90.5,4,CNG,Manual,1,237648
2022,Tata,46469,28.29,2846,98.6,205.6,4,Diesel,Automatic,1,145859
2007,Renault,149007,16.27,2957,50.7,267.7,7,Electric,Automatic,2,45132
2003,Ford,83832,26.87,1252,151.4,249.4,5,CNG,Automatic,1,171733
2023,Ford,95280,18.21,1317,95.6,257.1,7,Diesel,Automatic,3,127470
2009,Honda,51534,29.1,1053,87.7,231.5,4,Petrol,Automatic,1,118202
2007,Hyundai,25981,17.97,1474,195.2,97.8,7,CNG,Manual,1,272187
1995,Volkswagen,90655,25.45,949,50.1,193.7,4,Electric,Automatic,1,38861
2019,Ford,116256,26.19,931,188.6,183.0,4,Diesel,Manual,2,252315
2001,Toyota,117060,24.23,1170,142.7,366.6,6,Electric,Manual,2,116102
2003,Maruti,174431,17.65,1091,112.5,312.9,6,Electric,Manual,2,120231
2018,Maruti,84509,13.12,2372,109.9,292.9,5,Petrol,Automatic,2,105145
1995,Toyota,142011,12.0,1599,57.7,97.6,7,CNG,Manual,3,104764
2006,Mahindra,5056,11.87,898,168.2,366.0,6,Petrol,Manual,3,178141
2002,Mahindra,191183,25.39,1681,75.4,158.6,4,Electric,Manual,3,90500
2018,Maruti,193919,17.62,2227,176.9,234.8,6,Diesel,Manual,2,249877
2005,Honda,63031,17.61,1206,177.6,373.7,7,Diesel,Manual,3,225603
2013,Tata,159415,14.04,1447,166.9,321.9,6,CNG,Manual,3,239519
2011,Volkswagen,197473,14.29,2402,198.0,314.2,4,Electric,Automatic,1,210722
2002,Ford,170368,17.62,1017,156.1,126.4,6,Electric,Manual,3,186795
1997,Maruti,145510,14.24,2630,179.2,338.3,7,Petrol,Manual,1,207926
1997,Renault,62295,22.68,2107,143.2,158.2,5,Electric,Automatic,3,206274
1995,Toyota,27496,27.03,1666,199.5,127.7,5,Electric,Automatic,1,267959
2021,Kia,28057,23.57,2360,97.2,252.2,5,Petrol,Manual,3,142631
1999,Tata,30818,15.93,1679,83.3,347.5,7,Electric,Automatic,1,72608
2004,Maruti,86169,16.44,972,128.7,124.8,6,Diesel,Automatic,3,100732
2001,Hyundai,58248,22.32,2369,125.6,87.7,7,Petrol,Automatic,2,138059
2020,Honda,21208,22.36,2379,121.8,311.7,7,Diesel,Automatic,1,186861
2003,Hyundai,69422,25.02,2195,66.5,160.1,7,Electric,Manual,3,68272
2022,Volkswagen,150221,28.72,2200,85.4,72.7,6,Diesel,Manual,1,100665
2001,Ford,126420,14.51,2086,67.5,88.6,4,CNG,Automatic,2,87091
2003,Maruti,8835,15.8,1582,75.0,187.0,7,Diesel,Manual,2,49887
2002,Kia,141447,24.41,2803,185.1,338.0,5,Diesel,Manual,2,272007
2006,Hyundai,126527,12.41,877,45.1,282.7,4,Diesel,Automatic,2,96597
1996,Toyota,32531,14.83,1467,173.5,219.1,6,Diesel,Automatic,3,188143
1995,Renault,169031,14.61,1692,65.8,267.1,5,Diesel,Automatic,1,91875
2010,Honda,112643,14.26,1918,93.2,214.2,6,Petrol,Manual,3,148096
2017,Kia,186467,24.09,1591,140.8,229.6,4,Diesel,Automatic,1,170314
2017,Ford,96087,13.86,2712,194.1,107.6,7,Petrol,Manual,1,230796
2018,Volkswagen,172714,27.2,2131,170.3,182.0,6,Diesel,Automatic,3,244282
1999,Honda,53870,21.24,1312,193.8,178.5,4,Diesel,Automatic,1,210396
1997,Honda,124903,20.37,1806,198.2,250.6,4,Petrol,Manual,2,183119
2006,Mahindra,170093,17.76,2365,164.5,149.4,4,Electric,Automatic,1,240451
2002,Mahindra,3524,14.7,2288,53.9,375.8,4,Electric,Automatic,3,91915
2016,Volkswagen,117749,13.21,1093,41.8,329.1,6,Petrol,Automatic,3,79421
2021,Mahindra,68756,13.93,1027,192.7,354.8,6,Petrol,Manual,2,244361
1997,Kia,47778,28.73,2681,153.1,108.4,6,CNG,Manual,3,218060
1995,Kia,108431,22.41,2936,70.0,119.5,4,Electric,Automatic,2,73793
1997,Tata,115258,19.71,1676,149.9,263.5,4,Electric,Automatic,2,130574
1999,Ford,91426,10.51,2119,115.2,294.6,5,Petrol,Manual,1,115194
2009,Volkswagen,22585,28.92,2306,43.3,102.7,4,CNG,Automatic,2,30000
2008,Renault,154539,25.0,2525,88.6,392.6,6,CNG,Manual,3,115913
1997,Kia,187358,13.71,1526,82.9,350.6,6,Diesel,Automatic,1,46377
1995,Tata,160296,18.23,1937,144.2,366.5,5,Electric,Automatic,3,117878
1999,Renault,98632,22.62,2575,162.9,391.9,6,CNG,Automatic,3,180090
2020,Hyundai,23427,13.51,1677,199.4,236.8,4,Petrol,Manual,1,248263
2017,Volkswagen,116752,19.74,1373,134.5,92.8,7,Electric,Automatic,3,161760
2008,Renault,138042,24.22,2685,108.2,104.7,6,CNG,Manual,1,168347
2001,Hyundai,143094,12.98,2981,176.9,260.6,5,Petrol,Automatic,1,221694
2021,Renault,3390,14.99,1856,141.1,331.1,4,Electric,Automatic,3,196677
2003,Hyundai,120772,19.85,1280,105.6,266.3,6,Diesel,Manual,2,167534
2009,Honda,191118,23.95,2559,152.4,189.8,7,Diesel,Automatic,3,156803
2009,Ford,126917,21.23,1689,164.5,370.3,7,Petrol,Automatic,1,200831
2020,Kia,145359,14.24,2142,178.8,381.7,7,Petrol,Manual,2,245992
2004,Honda,24835,26.47,1089,78.2,291.9,5,CNG,Automatic,3,133190
2022,Mahindra,153203,20.42,1497,76.8,319.0,5,CNG,Manual,3,116778
2007,Kia,68852,12.23,871,75.4,378.2,5,Petrol,Manual,3,36423
2013,Ford,62954,14.53,1536,138.7,168.8,4,Electric,Manual,1,141259
2001,Hyundai,81446,29.36,2091,49.1,211.6,6,Electric,Automatic,2,39863
2011,Mahindra,16423,23.92,1091,171.9,326.8,4,Electric,Automatic,2,232162
2014,Mahindra,164668,16.65,2084,179.0,376.7,6,Petrol,Automatic,1,240184
2023,Kia,184421,14.87,2555,196.4,186.0,7,Diesel,Manual,1,251580
1998,Hyundai,31529,19.3,2685,162.7,311.6,6,Diesel,Manual,2,239636
1999,Maruti,26951,13.21,1947,62.6,234.8,5,Diesel,Automatic,1,72158
2017,Toyota,33712,14.65,1984,182.2,288.6,7,Electric,Manual,1,264565
2001,Toyota,41592,23.93,2943,123.5,231.9,5,CNG,Automatic,3,163504
2007,Maruti,61536,27.08,2990,194.6,114.0,6,Diesel,Automatic,2,202171
2009,Volkswagen,142367,11.24,2962,132.4,162.3,6,Petrol,Manual,3,171732
2005,Ford,23641,21.86,1659,125.6,113.5,7,Petrol,Automatic,3,140465
2023,Hyundai,85486,21.89,1742,48.3,265.7,4,CNG,Automatic,2,83429
1998,Kia,20363,17.65,2613,94.7,239.5,7,Diesel,Manual,3,70013
2007,Ford,24847,25.69,2041,189.8,397.7,5,Diesel,Manual,1,261077
2001,Ford,133265,19.99,1200,136.0,154.6,6,Diesel,Manual,2,158378
2021,Maruti,21643,12.86,2838,95.5,262.2,6,CNG,Automatic,3,161285
2013,Kia,57176,22.58,1373,100.6,254.3,7,CNG,Automatic,1,119044
2016,Volkswagen,39694,22.01,1870,141.6,290.5,7,CNG,Automatic,3,182083
2022,Kia,185184,29.86,2921,147.1,152.2,4,CNG,Automatic,3,176256
1996,Hyundai,87767,14.39,1999,147.6,77.0,4,Electric,Automatic,1,125641
2004,Volkswagen,39615,22.13,1373,55.3,326.9,4,Diesel,Automatic,1,111641
2007,Kia,128166,21.44,2366,133.0,133.8,6,Electric,Manual,3,143234
2019,Hyundai,94769,16.47,1489,138.9,348.5,6,CNG,Automatic,1,195470
2015,Hyundai,134962,25.29,2368,83.6,114.5,6,CNG,Automatic,3,99901
2000,Renault,95053,17.44,2716,104.4,284.2,7,Electric,Manual,3,135594
2022,Honda,183101,23.19,2288,68.4,321.2,6,Petrol,Automatic,1,133097
2022,Honda,147231,17.91,1542,68.0,148.6,5,Diesel,Automatic,2,41320
2006,Ford,15750,25.87,2605,56.6,304.7,5,Electric,Manual,1,35902
2006,Volkswagen,147688,29.96,985,108.9,217.2,4,Diesel,Manual,3,127514
2014,Tata,83866,23.76,2054,143.8,280.1,5,CNG,Automatic,3,136519
2005,Ford,189607,25.64,904,190.0,394.0,5,Electric,Automatic,1,218361
2020,Tata,172244,11.15,852,137.7,327.3,6,Petrol,Manual,1,192423
2017,Kia,62136,27.85,2445,122.5,376.5,5,Petrol,Automatic,2,145348
2022,Hyundai,161095,26.66,1961,186.8,220.5,7,Petrol,Manual,1,216517
2019,Renault,123878,12.77,1051,104.0,221.2,7,Petrol,Automatic,1,90140
2001,Tata,114043,22.34,2868,119.6,134.7,6,CNG,Automatic,2,130533
1995,Toyota,148316,27.29,2543,113.0,306.1,6,Petrol,Manual,1,86850
1995,Tata,33515,22.59,2262,100.9,390.2,5,CNG,Manual,1,97714
2019,Tata,192226,27.65,2303,146.4,100.0,6,Diesel,Automatic,1,157846
2021,Volkswagen,112509,24.21,1152,177.5,212.2,5,Electric,Manual,2,166033
2019,Honda,89412,18.8,1527,189.1,246.4,5,CNG,Manual,1,241466
2014,Renault,3857,29.15,2832,129.1,331.4,4,Diesel,Manual,1,165874
2007,Mahindra,126730,28.45,1656,164.5,334.1,4,Diesel,Manual,1,240583
2003,Volkswagen,99456,11.33,2554,138.1,203.7,6,Electric,Automatic,1,199266
1997,Toyota,100634,13.21,952,93.6,379.3,6,Electric,Automatic,1,52648
2001,Hyundai,48371,21.58,2609,170.7,147.8,5,Diesel,Automatic,1,249182
2000,Volkswagen,194447,22.37,2989,190.9,210.5,5,Electric,Automatic,1,258438
2002,Maruti,96519,27.99,2218,70.2,245.3,6,Diesel,Manual,2,63743
2021,Ford,27929,13.1,2206,173.4,101.0,5,Petrol,Automatic,2,242691
2003,Volkswagen,159787,17.57,1518,141.0,249.0,4,CNG,Manual,2,199358
1999,Honda,151046,29.55,2076,185.6,171.1,6,Electric,Automatic,1,198000
1995,Honda,29695,27.2,1981,147.2,341.8,7,Electric,Manual,1,214293
2013,Honda,176114,28.17,2084,194.1,224.5,4,Diesel,Manual,2,217817
2004,Volkswagen,138854,10.63,1478,70.1,320.8,5,Diesel,Manual,1,56997
2006,Honda,160005,14.4,1735,77.4,364.9,5,Diesel,Manual,1,92608
2018,Hyundai,28632,19.26,1698,98.5,114.0,5,CNG,Manual,3,163428
2009,Tata,56425,27.47,1604,159.0,212.8,4,Diesel,Automatic,3,180710
2021,Volkswagen,38606,18.93,2659,93.4,63.2,6,Electric,Manual,1,112057
2016,Honda,72442,13.21,913,56.5,77.8,5,Petrol,Automatic,1,74168
2018,Maruti,102805,22.26,1571,82.4,232.4,6,CNG,Automatic,3,70554
2003,Volkswagen,91351,27.87,2251,165.4,131.6,6,Petrol,Manual,1,227971
2014,Kia,8719,11.36,2425,196.3,258.3,6,CNG,Manual,1,275525
2011,Tata,25721,19.91,1273,68.3,167.9,5,Petrol,Manual,3,106515
2011,Tata,10507,29.6,2920,188.3,396.8,7,CNG,Manual,1,253061
2020,Volkswagen,31007,11.52,2003,40.8,329.9,4,Petrol,Manual,3,82365
2014,Kia,50459,18.05,1978,122.7,231.5,5,CNG,Manual,2,125457
2006,Hyundai,58141,14.37,2865,53.8,382.1,4,Petrol,Automatic,1,64067
2001,Volkswagen,51036,12.34,1219,196.6,274.3,6,Diesel,Manual,1,252525
1996,Kia,8797,24.47,2629,130.6,94.1,4,Electric,Manual,3,194750
1997,Honda,75353,11.27,1833,89.7,340.1,4,CNG,Automatic,1,84507
2011,Honda,60923,28.29,2833,190.0,293.4,4,Petrol,Automatic,2,264595
1999,Honda,114152,29.01,2470,127.9,132.0,6,Petrol,Automatic,2,130280
2011,Maruti,57101,21.62,2926,198.3,256.2,7,Petrol,Manual,3,274119
2018,Volkswagen,55291,22.4,991,135.9,259.9,4,CNG,Automatic,2,116618
2011,Ford,85227,28.17,1705,198.1,79.6,5,Electric,Manual,2,249048
2021,Volkswagen,129754,21.44,1983,153.9,145.2,4,Diesel,Manual,2,236708
2011,Ford,79437,14.16,2284,167.3,323.1,6,Electric,Manual,1,246931
1996,Hyundai,183468,17.17,1706,120.4,227.3,4,Petrol,Manual,3,184771
1996,Tata,169325,19.78,2509,145.9,113.3,4,Diesel,Manual,3,186879
2022,Toyota,190118,24.13,2078,44.9,361.6,6,Petrol,Manual,3,87659
2016,Ford,58689,19.31,1629,57.9,296.8,6,Electric,Automatic,3,112505
2017,Ford,93800,28.95,1712,58.3,189.9,6,CNG,Manual,2,48047
1999,Toyota,172135,21.94,2601,111.3,230.5,5,Petrol,Manual,1,103457
1995,Honda,36774,20.83,2250,158.8,255.3,7,Petrol,Automatic,2,161854
1995,Ford,3895,25.51,2380,171.7,139.5,7,CNG,Manual,3,158089
2013,Kia,25406,14.12,2309,194.3,304.6,5,Diesel,Automatic,1,283087
1996,Toyota,163920,20.16,1392,57.6,313.5,6,Petrol,Automatic,2,87421
2015,Tata,188093,10.34,1475,136.2,78.2,4,Petrol,Manual,3,138919
2006,Ford,50077,18.83,1993,99.6,382.1,7,CNG,Manual,1,88682
2020,Volkswagen,17644,13.06,2687,75.1,359.2,4,Petrol,Automatic,1,69845
2000,Honda,109485,25.98,887,155.9,152.7,7,Electric,Manual,1,159369
2017,Mahindra,45809,17.55,2250,91.8,97.8,5,CNG,Manual,2,150220
1998,Maruti,86155,19.36,1151,77.2,307.5,5,CNG,Automatic,3,85657
2017,Tata,108757,10.64,1743,137.8,267.6,5,Diesel,Manual,2,206221
2005,Mahindra,26250,10.67,1877,150.9,286.8,7,Petrol,Automatic,2,174310
2018,Ford,131582,15.24,1842,42.0,308.2,4,CNG,Automatic,3,66162
2021,Kia,190742,24.0,1513,124.0,181.6,5,Electric,Automatic,2,187535
2011,Toyota,188279,25.1,2743,72.2,356.1,4,Petrol,Automatic,1,53434
2000,Kia,31884,29.87,1373,91.5,325.5,5,Diesel,Automatic,3,117003
2018,Tata,163343,25.67,2127,159.5,204.8,7,Petrol,Manual,3,236743
1999,Mahindra,100594,22.92,1633,144.0,152.4,4,Diesel,Automatic,2,182002
2014,Hyundai,67610,24.02,2112,127.8,103.9,7,Electric,Manual,1,199613
1996,Maruti,24919,18.01,1305,140.9,163.4,6,Diesel,Automatic,1,116633
2000,Renault,86357,29.3,1731,134.7,287.4,5,Electric,Manual,1,199232
2016,Tata,189653,22.35,2339,84.3,193.7,4,Diesel,Automatic,1,82425
2005,Ford,45367,10.38,2501,148.2,253.3,4,Petrol,Automatic,3,206290
2010,Tata,129344,16.96,1962,80.9,105.4,4,Petrol,Automatic,1,61446
2010,Volkswagen,91818,12.82,1316,183.9,213.3,5,CNG,Manual,3,254432
1995,Ford,59432,14.71,1387,66.3,171.9,6,CNG,Manual,3,55665
2003,Kia,123891,21.32,1470,178.6,258.7,7,Electric,Automatic,2,175081
2022,Mahindra,102290,18.79,2478,122.3,277.2,6,Electric,Manual,1,109371
2021,Maruti,17173,19.02,2260,153.0,168.2,7,Petrol,Manual,1,231548
2000,Maruti,153927,18.62,2206,44.8,143.8,6,Diesel,Automatic,2,30000
2010,Kia,187133,13.99,2422,174.9,267.6,6,Diesel,Manual,1,162267
2023,Mahindra,80179,12.13,2929,179.6,316.3,7,Electric,Automatic,1,232743
1997,Hyundai,61293,18.68,986,88.8,309.2,7,Petrol,Manual,3,69399
2014,Honda,131597,15.38,2630,151.3,313.5,5,CNG,Manual,3,200547
2022,Maruti,50318,16.17,2710,42.8,104.7,4,Petrol,Automatic,1,30000
2021,Tata,109261,12.12,869,169.3,274.3,4,CNG,Automatic,3,218973
1998,Tata,131491,25.54,2547,180.7,71.2,5,CNG,Automatic,1,165239
2013,Honda,65104,11.24,2635,111.7,308.1,4,Petrol,Automatic,2,144029
2020,Honda,45628,24.05,2265,45.7,152.5,7,Diesel,Manual,2,30000
1997,Ford,168903,22.64,1456,84.8,347.5,5,CNG,Automatic,3,141263
2013,Maruti,110210,10.91,1622,150.8,320.4,4,CNG,Manual,3,195860
2014,Mahindra,150296,26.58,835,91.3,147.0,6,CNG,Automatic,1,91364
2001,Honda,145240,21.49,2391,167.5,304.3,4,Diesel,Manual,1,153804
2014,Mahindra,39414,24.39,1228,44.1,362.3,4,Petrol,Automatic,1,99313
2003,Toyota,148232,21.72,2850,173.2,374.3,4,Petrol,Automatic,3,204066
1995,Tata,21575,14.86,2705,197.3,386.6,5,Diesel,Manual,1,244422
2002,Kia,177353,16.08,2637,130.0,148.8,5,CNG,Automatic,1,158066
2001,Hyundai,137821,29.95,1161,84.8,69.2,6,Diesel,Manual,2,47489
2012,Volkswagen,57518,26.14,2873,49.7,386.6,7,CNG,Automatic,2,112489
2002,Renault,95860,26.77,940,58.9,101.9,5,Diesel,Manual,1,85277
1995,Hyundai,9884,15.18,1818,187.2,224.3,5,CNG,Automatic,2,179152
2005,Toyota,81038,25.64,1014,144.9,306.3,4,Electric,Manual,3,173255
2022,Kia,29613,16.86,1511,59.9,114.4,5,Petrol,Manual,1,100532
2019,Toyota,24432,16.59,2558,93.7,379.3,4,Diesel,Automatic,1,151617
2019,Ford,133201,16.28,2343,140.1,312.1,6,Electric,Manual,2,173567
2012,Mahindra,113643,12.18,2915,90.7,361.5,7,Diesel,Automatic,1,137227
2017,Hyundai,113884,12.08,2926,181.5,311.4,6,Petrol,Manual,2,196453
2004,Renault,62405,23.86,2265,47.7,232.4,7,Diesel,Manual,2,47290
1997,Volkswagen,121667,20.13,1479,178.2,191.1,5,Electric,Manual,2,175771
2001,Volkswagen,189180,26.21,1823,54.1,278.6,6,CNG,Manual,1,30000
2022,Hyundai,82035,25.69,2298,160.1,217.0,4,Diesel,Manual,3,246718
2010,Honda,165940,16.86,2958,61.5,306.7,4,Electric,Manual,3,110657
2020,Volkswagen,171877,12.67,2298,120.1,95.6,5,Petrol,Automatic,3,185995
2010,Ford,76825,15.57,803,108.3,77.0,6,Petrol,Manual,3,172043
2019,Mahindra,194164,20.92,2021,135.3,198.1,6,CNG,Automatic,1,176361
